sourcePath,label,href,resolvedPath,classification,status,notes
/blog,Not Everyone Wants the Gold Bar,/post/not-everyone-wants-the-gold-bar,/post/not-everyone-wants-the-gold-bar,INTERNAL,200,
/blog,Read full article→,/post/not-everyone-wants-the-gold-bar,/post/not-everyone-wants-the-gold-bar,INTERNAL,200,
/blog,,/post/the-process-or-people-problem,/post/the-process-or-people-problem,INTERNAL,200,
/blog,The Process or People Problem,/post/the-process-or-people-problem,/post/the-process-or-people-problem,INTERNAL,200,
/blog,Read full article→,/post/the-process-or-people-problem,/post/the-process-or-people-problem,INTERNAL,200,
/blog,,/post/most-of-my-job-sucks,/post/most-of-my-job-sucks,INTERNAL,200,
/blog,Most of My Job Sucks,/post/most-of-my-job-sucks,/post/most-of-my-job-sucks,INTERNAL,200,
/blog,Read full article→,/post/most-of-my-job-sucks,/post/most-of-my-job-sucks,INTERNAL,200,
/blog,,/post/empowering-clients,/post/empowering-clients,INTERNAL,200,
/blog,Empowering Clients,/post/empowering-clients,/post/empowering-clients,INTERNAL,200,
/blog,Read full article→,/post/empowering-clients,/post/empowering-clients,INTERNAL,200,
/blog,,/post/building-fast-vs-building-right,/post/building-fast-vs-building-right,INTERNAL,200,
/blog,Building Fast vs. Building Right,/post/building-fast-vs-building-right,/post/building-fast-vs-building-right,INTERNAL,200,
/blog,Read full article→,/post/building-fast-vs-building-right,/post/building-fast-vs-building-right,INTERNAL,200,
/blog,,/post/empowering-communities,/post/empowering-communities,INTERNAL,200,
/blog,Empowering Communities,/post/empowering-communities,/post/empowering-communities,INTERNAL,200,
/blog,Read full article→,/post/empowering-communities,/post/empowering-communities,INTERNAL,200,
/blog,,/post/the-work-life-balance-lie,/post/the-work-life-balance-lie,INTERNAL,200,
/blog,The Work-Life Balance Lie,/post/the-work-life-balance-lie,/post/the-work-life-balance-lie,INTERNAL,200,
/blog,Read full article→,/post/the-work-life-balance-lie,/post/the-work-life-balance-lie,INTERNAL,200,
/blog,,/post/when-branding-does-and-doesnt-matter,/post/when-branding-does-and-doesnt-matter,INTERNAL,200,
/blog,When Branding Does (and Doesn’t) Matter,/post/when-branding-does-and-doesnt-matter,/post/when-branding-does-and-doesnt-matter,INTERNAL,200,
/blog,Read full article→,/post/when-branding-does-and-doesnt-matter,/post/when-branding-does-and-doesnt-matter,INTERNAL,200,
/blog,,/post/empowering-founders,/post/empowering-founders,INTERNAL,200,
